id,name,base,contact,has_fare_table,routes,origin_areas,dest_areas,items,shapes,fare_note,memo,origin_markets,dest_markets
29,グリーンライン,京都府城陽市,,True,岡山⇆関西管内⇆中京,京都、大阪、奈良、兵庫、和歌山、愛知、岐阜、岡山,京都、大阪、奈良、兵庫、和歌山、愛知、岐阜、岡山,野菜全般、果物全般、青果混載,コンテナ、箱積み,運賃表あり,関西スタート関西帰りの動き。岡山→中京は行き先によっては1日で行ける。,,
30,大阪南海ONL ☆,大阪府堺市,関西→関東：高吉 / 関東→関西：松本部長 / 関西→中国四国：藤木・梅田 / 四国→関西中国：嶋崎・高岡（朝8時以降）,True,関東⇆静岡⇆中京⇆関西、関西⇆中国⇆四国、四国⇆中国⇆関西⇆中京,大阪、京都、奈良、兵庫、和歌山、愛知、岐阜、静岡、東京、埼玉、神奈川、千葉、岡山、広島、徳島、香川、愛媛、高知,大阪、京都、奈良、兵庫、和歌山、愛知、岐阜、静岡、東京、埼玉、神奈川、千葉、岡山、広島、徳島、香川、愛媛、高知,野菜全般、果物全般、青果混載、果物（冷蔵）,コンテナ、パレット、箱積み,運賃表あり,FAX確認はLINE。2日運航で関東⇆中国・四国も可。物量次第で茨城まで可。休対あり。前日予約可能。,,
31,ダイキチ運送（株）,大阪市,社長（午前11時〜）,True,関西⇆北陸、関西⇆長野、関西⇆九州,大阪、京都、奈良、兵庫、富山、石川、福井、長野、山口、福岡、熊本,大阪、京都、奈良、兵庫、富山、石川、福井、長野、山口、福岡、熊本,野菜全般、果物全般、青果混載,コンテナ、箱積み,運賃表あり,ルート日々変わるため都度相談。先取りも相談可能。基本このルートで走ってるが断られることもある。,,
32,東神物流,大阪府大東市,,False,関西→東北、関西→九州,大阪、京都、兵庫,大阪、京都、兵庫、青森、岩手、宮城、秋田、山形、福島、福岡、熊本、鹿児島,野菜全般、果物全般,コンテナ、箱積み,運賃表なし　例）関西→八戸 10kg:¥140,空車を見つけて荷物を詰め込む（ミズヤスタイル）。都度相談。,,
33,ITM,大阪市福島区,室井,True,関西→九州、関西→北陸,大阪、京都、兵庫,大阪、京都、兵庫、富山、石川、福井、福岡、熊本、鹿児島,野菜全般、果物全般,コンテナ、箱積み,運賃表あり,⚠️ 配送ミス多いので注意。ルート問い合わせを入れて行けなかった場合は断りの電話を入れること。,,
34,（有）岡三物流,岡山市,,True,関西⇆中国、関西⇆四国,大阪、京都、兵庫、岡山、広島、徳島、香川、愛媛、高知,大阪、京都、兵庫、岡山、広島、徳島、香川、愛媛、高知,野菜全般、果物全般、青果混載,コンテナ、箱積み,運賃表あり,FAX確認はLINE。,,
35,マルハトレーディング,岡山県,米村（問い合わせは朝10時前か14時以降）,False,岡山⇆中国、岡山⇆四国,岡山、広島、徳島、香川、愛媛、高知,岡山、広島、徳島、香川、愛媛、高知,野菜全般、果物全般,コンテナ、箱積み,運賃表なし・都度相談,ルート日々変わるため都度相談。四国→岡山は延着する。,,
36,（株）ミナミ ☆,広島県尾道市,葛原（朝9時〜）,True,関西⇆中国、関西⇆四国,大阪、京都、奈良、兵庫、岡山、広島、徳島、香川、愛媛、高知,大阪、京都、奈良、兵庫、岡山、広島、徳島、香川、愛媛、高知,野菜全般、果物全般、青果混載,コンテナ、箱積み,運賃表あり（数があれば交渉可能）,FAX確認はLINE。3F退社15分前スキャン。確実に走ってるコースはルート問い合わせ控えてください。,,
37,やま仁運輸株式会社,徳島県,加茂,False,徳島⇆関西、徳島⇆中京,徳島、大阪、京都、奈良、兵庫、和歌山、愛知、岐阜、三重,徳島、大阪、京都、奈良、兵庫、和歌山、愛知、岐阜、三重,野菜全般、果物全般、青果混載,バラ、コンテナ、箱積み,運賃表なし　例）徳島→関西 5kg:¥50/10kg:¥100 / 徳島→中京 5kg:¥100/10kg:¥150,徳島スタート徳島終了。先取りOK（京都・奈良・本場・和歌山〜4時まで）。数まとまれば北陸も可。,,
38,とくとく便（有）,徳島市,,False,徳島→四国、徳島→中国,徳島,徳島、岡山、広島、愛媛、高知,野菜全般、果物全般,バラ、コンテナ,運賃表なし　例）5kg:¥80/10kg:¥100,場所によっては先取り可能。,,
39,原運輸,愛媛県松山市,,True,四国⇆中国、四国管内,愛媛、徳島、香川、広島,愛媛、徳島、香川、広島,野菜全般、果物全般,コンテナ、箱積み,運賃表あり,返事が遅いことあり。昼からいけないと言われる場合あり。,,
40,ムラカタ流通,福岡県北九州,松尾,False,九州⇆広島,福岡、山口、広島,福岡、山口、広島,野菜全般、果物全般,バラ、コンテナ,運賃表なし,現品のみ。,,
41,（有）福岡宇野運輸,福岡県福岡市,松永,False,九州→中国、九州→関西,福岡,福岡、広島、山口、大阪、奈良、兵庫,野菜全般、果物全般、青果混載,コンテナ、箱積み,運賃表なし　例）福岡→関西 5kg:¥80/10kg:¥140（奈良は10kg:¥160）,前日依頼が望ましい（当日は乗らない場合あり）。広島途中下車難しい。先取り不可。,,
42,金田運輸,長崎県雲仙市,堀部長,False,長崎でじま青果→関西、長崎でじま青果→中京、長崎でじま青果→関東,長崎,長崎、大阪、愛知、東京、埼玉,野菜全般、果物全般,コンテナ、箱積み,運賃表なし・都度確認　実績：長崎でじま→大阪本場 芋@¥160,長崎でじま青果行きはチャーター以外は受けれない。,,
43,エヌワン,熊本市,,False,熊本⇆福岡,熊本、福岡,熊本、福岡,野菜全般、果物全般,バラ、コンテナ,運賃表なし,一か月の運賃総額が3万円以下だと送金手数料こちらが負担。送り状必要。,,
44,一〇九運送,熊本市,,True,九州管内、九州→新下関、九州→宇部,熊本、福岡,熊本、福岡、山口,野菜全般、果物全般,コンテナ、箱積み,運賃表あり,FAX確認はLINE。先取可能。宇部行は延着の可能性高い。,,
45,宝島総合運輸,熊本市,すみの,True,熊本→中国、熊本→関西,熊本,熊本、広島、山口、大阪、京都、兵庫,野菜全般、果物全般,コンテナ、箱積み,運賃表あり,東から熊本もあるが事前依頼・1台チャーターのみ。,,
46,シンセイ物流,熊本市,,False,熊本→広島、熊本→山口、熊本→岡山、熊本→関西,熊本,熊本、広島、山口、岡山、大阪、京都、兵庫,野菜全般、果物全般,コンテナ、箱積み,運賃表なし,熊本→広島・山口は翌日販売。熊本→岡山・関西は2日運航。1件の荷捌きで最低運賃1万円は発生する。,,
47,湯浅運送,鹿児島,中野（鹿児島支店長）※問い合わせは必ず朝9時以降,False,鹿児島・宮崎・都城→集荷、九州→関西、九州→中京、九州→関東,鹿児島、宮崎、福岡、熊本、大分、長崎、佐賀,鹿児島、宮崎、福岡、熊本、大分、長崎、佐賀、大阪、愛知、東京,野菜全般、果物全般、青果混載,コンテナ、パレット、箱積み,商材によって異なるため都度電話で確認,問い合わせは必ず朝9時以降。集配可否は物量・時間によって変動。九州全域集荷ネットワーク。,,
